question,question_sent_count,question_tok_count,label,question_modality_strong,question_modality_weak,question_uncertainty,question_positive,question_negative,VOLA_PRIOR,VIX,SIZE,INDUSTRY,BTM,SUE,date,ticker
So just kind of getting into {DATE} of gas leasing and then looking forward as you make capital allocation decisions we should think that the majority of your leasing willing be oil directed,1,33,1,0.0,0.0,0.0,0.0,0.0,1.539050478,11.98,4273.063560000001,9,0.291033765,2.8005,2006-Sep-20,KMX
I guess but would it be fair to say that spending against core brands would be up,1,17,1,0.0,0.0,0.0,0.0,0.058823529411764705,1.784280233,11.62,14773.46325,9,0.111182385,6.0465,2006-Oct-12,YUM
Hello Can you hear me,2,5,1,0.0,0.0,0.0,0.0,0.0,1.773363066,11.09,124430.38,6,0.249664542,3.65051,2006-Oct-17,INTC
Okay And then secondly I think Ken I think in a speech {DATE} you made the comment that you thought and sorry if I get to wrong nonperformers actually peak in {DATE} Is that correct and do you still feel that way,3,42,1,0.0,0.0,0.0,0.0,0.023809523809523808,1.773363066,11.09,124430.38,6,0.249664542,3.65051,2006-Oct-17,INTC
The way you characterized it it sounds like it is primarily fuel that is causing the gross margin pressure in {DATE} And that it is not yet a big impact from tighter capacity Is that right,3,36,1,0.0,0.0,0.0,0.0,0.0,1.639109401,11.73,9907.0125,6,0.208317064,0.1696,2006-Oct-18,LLTC
Then well whatever I will just ask it you guys think you are going to be able to stay profitable in {DATE} Given all the stress,2,26,1,0.0,0.0,0.0,0.07692307692307693,0.038461538461538464,1.639109401,11.73,9907.0125,6,0.208317064,0.1696,2006-Oct-18,LLTC
Thand you Just a quick question the change to the sign up process again Would you guys consider that what you 're doing now is more conservative than what your peers are doing in terms of walking customers through the or taking them deeper into the sign up process,3,49,1,0.0,0.0,0.0,0.0,0.02040816326530612,2.8936115210000004,11.73,6365.77408,6,0.237188092,1.20257,2006-Oct-18,CTXS
You feel you can operate pretty well in this environment and still be able to source quality deals,1,18,1,0.0,0.0,0.0,0.05555555555555555,0.0,1.5975532140000002,11.73,31197.652,10,0.12528151199999998,3.18397,2006-Oct-18,GILD
Okay So you will not say that the guns are now working,2,12,1,0.0,0.0,0.0,0.0,0.0,1.5975532140000002,11.73,31197.652,10,0.12528151199999998,3.18397,2006-Oct-18,GILD
Got it How do you think about your outerwear assortment just {DATE} versus {DATE} overall,2,15,1,0.0,0.0,0.0,0.0,0.0,2.236158907,11.34,8005.75535,6,0.323400257,3.84854,2006-Oct-19,XLNX
Was the prior thought on SG&A leverage in {DATE} was a range of {PERCENT} an now you 're tightening it to {PERCENT},1,22,1,0.0,0.0,0.0,0.0,0.045454545454545456,2.2500149940000003,11.34,5078.9580700000015,6,0.379914035,0.5102,2006-Oct-19,VRSN
Okay but if I read you right you can go deeper later on if you need to,1,17,1,0.0,0.0,0.0,0.0,0.0,2.2500149940000003,11.34,5078.9580700000015,6,0.379914035,0.5102,2006-Oct-19,VRSN
A couple follow ups to prior questions You described your thoughts about margins over {DATE} Can you push it out to {DATE} What happens afterwards Do you think costs measurements I mean I understand just from what you 've said the activity levels are a little bit unclear but are you still thinking international margins come down by some multiple {CARDINAL} basis points,7,63,1,0.0,0.0,0.015873015873015872,0.0,0.015873015873015872,2.2500149940000003,11.34,5078.9580700000015,6,0.379914035,0.5102,2006-Oct-19,VRSN
Going to the gross margin question do you think {DATE} was the peak gross margin or you could possibly see better margins sometime during this calendar {DATE},1,27,1,0.0,0.07407407407407407,0.1111111111111111,0.037037037037037035,0.037037037037037035,1.156413608,11.34,50515.47787,9,0.378512986,0.2582,2006-Oct-19,MCD
How do you think about the spread between the costs of those capital over time in the context of {DATE} 's environment,1,22,1,0.0,0.0,0.0,0.0,0.0,1.373719692,10.9,96815.93472,10,0.276433203,0.29241,2006-Oct-20,MRK
Would you say it 's the majority of your shipments now,1,11,1,0.0,0.0,0.0,0.0,0.0,3.549803649,10.63,1515.74496,12,0.152697845,3.73836,2006-Oct-23,NFLX
Okay that is helpful And are you what are you doing to prepare for that Are there other shipping lines that you do n't already partner with that you trying to forge a relationship with and how is that going,3,40,1,0.0,0.0,0.0,0.0,0.0,3.549803649,10.63,1515.74496,12,0.152697845,3.73836,2006-Oct-23,NFLX
Okay And then there would also be a drag embedded in that from currency,2,14,1,0.0,0.0,0.0,0.0,0.07142857142857142,3.549803649,10.63,1515.74496,12,0.152697845,3.73836,2006-Oct-23,NFLX
Okay got you And then just kind of working through the gross margin sounds like that was more moderated Is that simply all foreign currency or is that any other thing impacting your expectations on the gross margin line,3,39,1,0.0,0.0,0.0,0.0,0.0,1.653945183,10.66,6800.64348,6,0.224501386,0.54222,2006-Oct-26,MCHP
Okay so ex that what would it have been,1,9,1,0.0,0.0,0.0,0.0,0.0,1.658280796,10.78,19569.79332,6,0.808445629,0.86595,2006-Oct-25,SYMC
Did any of the people you were talking to try to make an offer or you just did n't go tell them no,1,23,1,0.0,0.0,0.0,0.0,0.0,1.658280796,10.78,19569.79332,6,0.808445629,0.86595,2006-Oct-25,SYMC
Claiborne you indicated that Samarai was {CARDINAL} interest and was n't originally that unit you and Anadarko in the lease,1,20,1,0.0,0.0,0.0,0.0,0.0,0.8854117229999999,10.66,8910.97565,8,1.036517038,2.79697,2006-Oct-26,XEL
And obviously relatively small number and right now it 's all healthcare related and it 's all debt and you 're just doing it opportunistically,3,25,1,0.0,0.0,0.0,0.0,0.04,0.8854117229999999,10.66,8910.97565,8,1.036517038,2.79697,2006-Oct-26,XEL
Okay and that that impacted directly your operating profit right,1,10,1,0.0,0.0,0.0,0.0,0.0,0.8854117229999999,10.66,8910.97565,8,1.036517038,2.79697,2006-Oct-26,XEL
So should we assume that your internal goal would be to grow sales faster than inventory,1,16,1,0.0,0.0,0.0625,0.0,0.0,1.142729962,10.66,422151.3966,4,0.383360232,2.6882900000000003,2006-Oct-26,XOM
Fantastic Now on the product pricing side of things assuming let 's say that crude oil and natural gas prices remain where they are {DATE} there 's a lot of chatter about Asian crackers really sort of making breakeven to negative profitability So if energy prices remain where they are {DATE} do you see over {DATE} a positive inflection call it in spot pricing on the olefin side of things,3,70,1,0.0,0.0,0.014285714285714285,0.04285714285714286,0.014285714285714285,0.836344933,10.8,112586.4013,7,0.745982293,1.14226,2006-Oct-30,VZ
So you guys booked actually a pretty small gain in your private equity holdings which seemed kind of conservative given the pretty significant price rise we saw in equity markets Could you comment maybe about that and is that just a conservative market we should assume,2,46,1,0.0,0.043478260869565216,0.06521739130434782,0.021739130434782608,0.0,0.832990155,11.09,15050.37384,8,0.817120588,7.756689999999999,2006-Nov-08,PCG
Just curious in terms of how you 're thinking and this may be an Allen question how you 're thinking about the capital expansion process I know it 's in the budget for ATC but in terms of the execution part of that meaning getting permits getting siting getting it done on time on trajectory,3,55,1,0.0,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,1.723523612,10.5,14128.145,6,0.137998211,4.51371,2006-Nov-15,NTAP
Thank you I apologize I have been jumping back and forth across a couple of calls Steve so if you addressed this I apologize It 's been my perception that the environment over {DATE} has given you guys perhaps a little more visibility than normal I 'm curious notwithstanding the seasonal issues in {DATE} as you think about lead times and just the rate at which customers are placing orders how would you characterize visibility {DATE} and I guess as you answer the question Steve you always had a better view than most on the economy and the macro As you think about {DATE} is the macro a tailwind a headwind or a neutral factor as we think about your growth,7,121,1,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356,1.38176333,10.31,11986.34499,6,0.16359135800000002,0.74162,2006-Nov-16,INTU
The reason I ask the question the way I did your efficiency ratio was {PERCENT} in {DATE} {PERCENT} in {DATE} and your guidance which certainly is appreciated is for {PERCENT} So you 're kind of already there So on a headline basis it might be tough for us to figure out some of the ins and outs or can you break it out or,4,64,1,0.0,0.015625,0.015625,0.015625,0.03125,1.943675568,10.05,12338.33768,9,0.18608913,0.58186,2006-Nov-20,JWN
Okay great My follow up just a clarification When we heard you last on the Olin announcement for the Chlor Alkali spin I think you mentioned that it would be accretive to EPS by about a nickel Just clarifying is that inclusive of the ethylene deal that you signed with them and the moratorium on share buybacks for the rest of {DATE},4,62,1,0.0,0.0,0.016129032258064516,0.016129032258064516,0.016129032258064516,1.314116929,11.23,16020.10025,9,0.393364003,2.99722,2006-Dec-05,KR
Okay And then finally on the revised EPS guidance Rob are you still assuming at the mid point that we have {CARDINAL} fed fund cuts that drive yield curve steepening or have you reevaluated that assumption as well,2,38,1,0.0,0.0,0.07894736842105263,0.0,0.0,1.3531003659999998,11.23,8162.168879999998,9,0.073149962,1.04445,2006-Dec-05,AZO
How much is on NPA Status,1,6,1,0.0,0.0,0.0,0.0,0.0,1.3531003659999998,11.23,8162.168879999998,9,0.073149962,1.04445,2006-Dec-05,AZO
It was always very low I was thinking much higher so that 's fine Okay Also I 'm sorry,3,19,1,0.05263157894736842,0.0,0.0,0.0,0.0,1.945472178,10.18,23508.7632,6,0.221455788,0.07732,2006-Dec-14,ADBE
Okay And I guess I was thinking more on just usage trend versus {DATE} Are residentials using about the same Or less or more or on a weather normalized basis,4,30,1,0.0,0.0,0.0,0.0,0.0,1.945472178,10.18,23508.7632,6,0.221455788,0.07732,2006-Dec-14,ADBE
I guess my question is really are you is it easier to get these PPAs {DATE},1,16,1,0.0,0.0,0.0,0.0625,0.0625,2.06821474,10.05,91547.04,6,0.20935754,0.5253800000000001,2006-Dec-18,ORCL
Okay So we can hope for more buyback going forward regardless of the stock price being above {CARDINAL},2,18,1,0.0,0.0,0.0,0.0,0.0,1.124145385,10.3,17968.292,3,0.305709905,3.44133,2006-Dec-20,NKE
So the market share and who is going to claim what is essentially a {DATE} PR campaign Correct,2,18,1,0.0,0.0,0.0,0.0,0.0,1.756682271,10.3,5195.04564,9,0.291033765,12.93812,2006-Dec-20,KMX
Thanks Charlie in you mentioned that special deal that got booked but not billed Do you have any deals like that in where you 're able to book but you did n't see the billing come through,4,37,1,0.0,0.0,0.0,0.02702702702702703,0.0,2.039941075,12.14,1647.53752,12,0.233449546,0.87513,2007-Apr-18,NFLX
Great Thanks Marc Jets playoffs no playoffs,3,7,1,0.0,0.0,0.0,0.14285714285714285,0.0,1.607365535,12.14,9384.74914,11,0.445173955,1.0328,2007-Apr-18,ETFC
And just a quick follow up on that How do you guys consider this business Is it government business commercial business and does it apply to the de minimus rule,3,30,1,0.0,0.0,0.0,0.0,0.0,2.370711215,12.07,11688.76656,6,0.567193988,0.2132,2007-Apr-23,JNPR
Good to hear from you too Are you going to help your customers transition into the new pricing levels starting in {DATE},2,22,1,0.0,0.0,0.0,0.045454545454545456,0.0,2.370711215,12.07,11688.76656,6,0.567193988,0.2132,2007-Apr-23,JNPR
Right That makes sense Well good luck for holiday And any opportunity does it matter at all what happened with Loehmann 's to you guys Or do you feel guilty about putting them out of business again,5,37,1,0.0,0.0,0.0,0.05405405405405406,0.02702702702702703,1.319707027,12.07,46837.9925,6,0.27257559,5.7748300000000015,2007-Apr-23,TXN
Okay okay Any type of percentage shift {DATE} Micky,2,9,1,0.0,0.0,0.0,0.0,0.0,1.319707027,12.07,46837.9925,6,0.27257559,5.7748300000000015,2007-Apr-23,TXN
Okay Let me just ask my follow up point or question sorry On the last {DATE} conference call or I guess it was {DATE} conference call the target for cash flow from operations was {MONEY} I think Ursula said on the prepared remarks it was greater than {MONEY} I just wanted to confirm what are the cash flow targets for {DATE},5,61,1,0.0,0.0,0.0,0.01639344262295082,0.01639344262295082,1.427289756,13.08,17880.72984,8,0.574054587,1.38664,2007-May-03,WMB
Right And if you look at the other acquisitions you 've done quite a lot lately Is it fair to say they 're on an aggregate basis accretive or are they still ramping up,3,34,1,0.0,0.0,0.0,0.0,0.0,1.745475879,13.5,13525.36075,9,0.15127555199999998,1.83711,2007-May-17,JWN
Good {TIME} I have a relatively simple question I think Setting aside sales comps would you prefer to have a dollar of sales {DATE} or {DATE},3,26,1,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,1.65439529,13.5,9377.844,6,0.16359135800000002,2.95329,2007-May-17,INTU
Should I say the whole thing again,1,7,1,0.0,0.0,0.0,0.0,0.0,1.65439529,13.5,9377.844,6,0.16359135800000002,2.95329,2007-May-17,INTU
And was the acuity of the surgeries was it higher than you 've seen recently or it was a lower acuity surgeries,1,22,1,0.0,0.0,0.0,0.0,0.0,1.40528883,13.5,10126.56,6,0.1103557,0.3581,2007-May-17,ADSK
Okay Do you see any opportunity to expand your position there or is that something you 're interested,2,18,1,0.0,0.0,0.0,0.05555555555555555,0.0,1.26715325,13.3,18359.82575,9,0.272135775,0.40529,2007-May-22,SPLS
Okay So {CARDINAL} other follow up question real quickly and that is I 've noticed in your in the men 's areas some of the stores in my region are now showing men 's runway departments Is that something new Is that something you 're going to expand And how many of them are there currently,5,56,1,0.0,0.0,0.0,0.0,0.017857142857142856,1.26715325,13.3,18359.82575,9,0.272135775,0.40529,2007-May-22,SPLS
Okay And you should be gaining share over and above that I guess,3,13,1,0.0,0.0,0.0,0.07692307692307693,0.0,1.277326924,13.06,49642.83084,9,0.307266258,3.85691,2007-May-23,TGT
Okay And then my second question is a lot of talk on the World Cup and the product offering I just wondered if any of you guys would share your predictions for the winner,3,34,1,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,1.467296371,13.53,5650.99568,1,0.254690432,2.31176,2007-May-30,RL
Okay So I guess prior to {DATE} should we expect a slow decline How should we think about it between now and then,3,23,1,0.0,0.0,0.0,0.0,0.08695652173913043,1.467296371,13.53,5650.99568,1,0.254690432,2.31176,2007-May-30,RL
Great From your slide {CARDINAL} where you talk you kind of walked through the cash flow there Maintenance capital {DATE} was {MONEY} maintenance capital {DATE} {MONEY} When you talk about maintenance capital I would 've thought there is n't that much variation from {DATE} How should we think about a normalized maintenance cap level for you guys,5,57,1,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,1.467296371,13.53,5650.99568,1,0.254690432,2.31176,2007-May-30,RL
I do n't want you to preannounce it but are we likely to have announcements,1,15,1,0.0,0.0,0.0,0.0,0.0,1.276784113,16.65,21065.06588,9,0.312777039,1.0982,2007-Jun-26,KR
{CARDINAL} final one for Clarence I know that J.B. Hunt who some might say would be the leader in intermodal in the U.S. currently have been deriving a lot of its growth in the east in lanes that heretofore were thought to be too short to support quality competitive intermodal operations But that 's where their focus is and I know that they have been chatting with you a little bit at least Any thought about whether there might be an opportunity to capture some of that business perhaps into the New England area or Florida or other areas where you might have an advantage over brand X,5,108,1,0.0,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.0,1.915398261,18.89,4512.6848,6,0.189643262,2.34091,2007-Jun-27,RHT
Is it an active process underway at this point Jeff,1,10,1,0.0,0.0,0.0,0.0,0.0,1.137300122,15.53,15373.93473,12,0.127069607,0.10039,2007-Jun-28,PAYX
And then the follow up on that Dave these are times that we have n't seen in quite a while in terms of either market I mean good market volatility,3,30,1,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.360338572,16.64,18024.09564,9,0.097163394,2.8987,2007-Jul-12,YUM
All right And could you give us some sense of how much Trojan might have been up at retail,2,19,1,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.7992120079999999,15.59,184800.4004,10,0.21274686,2.20478,2007-Jul-17,JNJ
Okay Were there any company or more likely customer specific issues in {DATE} here where maybe a ramp up did n't happen as fast or someone decreased spending where that impacted the overall rate,2,34,1,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,1.199999908,16.0,27539.19828,10,0.192140625,0.28865,2007-Jul-19,SYK
So but I mean is it fair to assume that you 're going to have a pretty significant margin decline {DATE} because you really have n't had enough time to do as much as you 'd like on some of the variable or semi variable costs Is that a fair way to look at it do you think,2,58,1,0.0,0.0,0.05172413793103448,0.0,0.017241379310344827,1.617958656,16.0,5604.19078,10,0.165776988,4.5056400000000005,2007-Jul-19,ISRG
Great And my final question on Commercial Real Estate on prepayment penalties for the new deals that you 're writing are you able to secure more stringent prepayments or is that an area where you 're getting a lot of pushback,2,41,1,0.0,0.0,0.0,0.04878048780487805,0.07317073170731707,1.617958656,16.0,5604.19078,10,0.165776988,4.5056400000000005,2007-Jul-19,ISRG
Got you Okay And a CapEx number for {DATE} Steve,3,10,1,0.0,0.0,0.0,0.0,0.0,1.617958656,16.0,5604.19078,10,0.165776988,4.5056400000000005,2007-Jul-19,ISRG
So there 's some seasonality there,1,6,1,0.0,0.0,0.0,0.0,0.0,1.587942265,16.0,3643.99294,11,0.454893763,1.06895,2007-Jul-19,NDAQ
Okay And what is the expected ramp rate on that Is that something that as we get into {DATE} and anniversary its acquisition it should be running fairly efficiently Or will that always be just running at a lower,4,39,1,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,1.587942265,16.0,3643.99294,11,0.454893763,1.06895,2007-Jul-19,NDAQ
So at least in the near term then it does n't change at all any of the kind of timing of the way you would invest your capital or the scale of an ATM program or anything like that,1,39,1,0.0,0.0,0.0,0.0,0.0,1.0995743059999998,16.0,8837.88189,9,0.183600269,6.0992,2007-Jul-19,SHW
What did retention actually end up at,1,7,1,0.0,0.0,0.0,0.0,0.0,1.294462747,16.0,36411.88446,10,0.060643773,2.68328,2007-Jul-19,GILD
Okay so it 's more on the expense side So you clearly should have some visibility toward that,2,18,1,0.05555555555555555,0.0,0.0,0.0,0.0,0.932766993,16.0,22391.09509,11,0.493757161,0.03774,2007-Jul-19,BBT
Okay thanks And then just the follow up on the timing of the Atlanta sale Is that and the proceeds we should assume that those should be directly applied to a buyback upon closing,3,34,1,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.932766993,16.0,22391.09509,11,0.493757161,0.03774,2007-Jul-19,BBT
Okay and then the last question If you look at both of these should we view them between pooled health and aerial imagery as long term revenue objectives or are we going to see some waterfall sooner potentially {DATE},2,39,1,0.0,0.0,0.0,0.0,0.02564102564102564,0.932766993,16.0,22391.09509,11,0.493757161,0.03774,2007-Jul-19,BBT
Okay All right And then lastly It would be helpful can you just tell us other in your breakout segment US versus Europe versus rest of world which of those regions you think will some be more impacted than others from the supply disruption How should we think about growth in each of those for the remainder of {DATE} Just qualitatively which do you think would be impacted more than the others,6,72,1,0.0,0.0,0.0,0.0,0.013888888888888888,1.291459262,15.23,22500.11366,10,0.71371904,0.7277100000000001,2007-Jul-20,BSX
And any particular segment commentary related to that,1,8,1,0.0,0.0,0.0,0.0,0.0,1.291459262,15.23,22500.11366,10,0.71371904,0.7277100000000001,2007-Jul-20,BSX
And then last one as we think about some of the gives and takes around procedures understand obviously you did n't change guidance on procedures {DATE} But do you see a path north of {PERCENT} in the medium to intermediate term {DATE} given everything you 've got in terms of new procedures I do n't want to box you into giving longer term guidance but how do you think about where procedures could go,3,74,1,0.0,0.013513513513513514,0.013513513513513514,0.0,0.0,2.8408642210000004,16.95,1327.73394,12,0.233449546,9.12422,2007-Jul-23,NFLX
Okay but I mean but for {DATE} was there an EPS impact,1,12,1,0.0,0.0,0.0,0.0,0.0,2.8408642210000004,16.95,1327.73394,12,0.233449546,9.12422,2007-Jul-23,NFLX
Would it take some sort of a drop off in load factors And how much before you might see some difference in fares,2,23,1,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.94840809,16.81,6447.186,12,0.179524455,1.4792,2007-Jul-24,EFX
Thank you I have a couple of questions Rick first just to follow up on your {DATE} comments you talked about growth but I did n't hear you mention the {PERCENT} EPS growth Is that what you 're thinking for {DATE} at this point Or are you trying to signal something else,6,52,1,0.0,0.0,0.0,0.0,0.019230769230769232,0.94840809,16.81,6447.186,12,0.179524455,1.4792,2007-Jul-24,EFX
Okay and that does n't include that 's just product only no service,2,13,1,0.0,0.0,0.0,0.0,0.0,1.381522566,16.81,15763.9485,10,0.468501743,5.16851,2007-Jul-24,BIIB
It is great Thanks Just to clarify was there ever a point in {DATE} where you had to rely more on synthetics or have you always been cash,3,28,1,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,1.381522566,16.81,15763.9485,10,0.468501743,5.16851,2007-Jul-24,BIIB
So the tax item is a bigger impact than the trading profit,1,12,1,0.0,0.0,0.0,0.0,0.0,1.694538307,16.81,3839.91376,10,0.10720216,3.3080199999999995,2007-Jul-24,VRTX
Would you suggest though that margins overall for Geco were up as multiclient starts to come back,1,17,1,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.816709923,16.81,30779.85484,3,0.209590277,1.16071,2007-Jul-24,KMB
Over {CARDINAL} And the {CARDINAL} over {MONEY} is that the most,2,11,1,0.0,0.0,0.0,0.0,0.0,1.4177545580000002,16.81,12991.8582,11,0.554014341,3.88956,2007-Jul-24,LM
Clarence do you have a sense of distribution across {DATE} for that I mean is it going to be a first {CARDINAL} weighted {CARDINAL} or should we expect I mean kind of {CARDINAL} to million {DATE} and kind of evenly throughout,3,41,1,0.0,0.0,0.0,0.0,0.0,1.23273294,18.55,3950.3584,9,0.383913085,1.94696,2007-Jul-25,ORLY
Okay but nothing there is nothing actively being discussed in the near term,1,13,1,0.0,0.0,0.0,0.0,0.0,1.420188782,18.55,72125.95764,6,0.22324655,2.8959,2007-Jul-25,QCOM
Great and you have a long term model of what you expect as a percentage of revenue or is it just expected to continue to take market share,1,28,1,0.0,0.0,0.0,0.03571428571428571,0.0,1.344804633,18.55,8264.17215,8,0.872527733,1.19548,2007-Jul-25,XEL
Okay thank you And then as a follow up just in Europe I mean in the US I appreciate that PACCAR both Kenworth and Peterbilt are pretty strong in the oil and gas sectors In Europe the share gain by DAF is that more because the geographies that DAF is leveraged to are stronger or are there specific segments where DAF is particularly valued,4,64,1,0.0,0.0,0.0,0.046875,0.0,1.5478883209999998,18.55,41191.34391,3,0.247462958,2.01148,2007-Jul-25,GLW
Okay John thank you {DATE} when Spirit maybe {DATE} or so when Spirit announced they were charging for carry ons congress summoned a number of airlines CEOs to basically promise congress that they would never do the same thing Jeff you were running Continental at the time You were conspicuously absent Was that a scheduling conflict or is there any particular reason why you did n't show up for that hearing,5,71,1,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.028169014084507043,2.781174468,18.55,7641.963476999998,6,0.112117875,0.09796,2007-Jul-25,AKAM
So weather aside if I just assume normal weather I should be towards the top end,1,16,1,0.0,0.0,0.0625,0.0,0.0,1.91402971,18.55,117241.1666,6,0.15743153,5.65803,2007-Jul-25,AAPL
{DATE} Can we just talk about the remodels for a minute As you think about the remodeled stores that were offline in {DATE} I 'm guessing there will be significantly fewer closed in {DATE} so you have the fleet open for the holidays Is that a fair assumption,4,48,1,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,1.91402971,18.55,117241.1666,6,0.15743153,5.65803,2007-Jul-25,AAPL
Good {TIME} guys Say I was trying to look at just on the basis differential obviously continue very positive for you all Just looking at the recent slide you all talk about the price uplift either for Steve or one of you all just wondering about if you still have the same type of uplift for is it still {PERCENT} of the acreage in the wet is still considered wet Steve And then secondly I think on the slide it shows the uplift going from when it 's not processed around {CARDINAL} Is that uplift that percentage still in line or is it even going to be higher than that,5,110,1,0.0,0.0,0.0,0.01818181818181818,0.0,1.3430633980000002,18.55,9128.0625,6,0.289649537,2.58015,2007-Jul-25,FISV
Okay So a portion of that the step up {CARDINAL} is ongoing and a portion of that profitability relates to market conditions for both product and other feedstocks I guess I 'm trying to distill which would ultimately at least how we model it drive a higher capture rate going forward So I 'm trying to find what that step change was given the Hess assets within your portfolio And I guess we could maybe use the volume metric time the margin that you provided,5,85,1,0.0,0.023529411764705882,0.023529411764705882,0.011764705882352941,0.0,0.813080013,18.1,18569.9388,10,0.229410717,3.43247,2007-Jul-26,BDX
Okay Let me ask one final question I want to make sure I understand your commentary on the cadence gross margin going forward because it has been a sticking point {DATE} was above expectations But you are guiding to {CARDINAL} basis points or so sequential decline in {DATE} I understand some of that should happen because of geography and Depakote IR and and then a big step up again in {DATE} Help me understand the mix cadence and anything else that might going on there that causes gross margins to go down by as much as you are expecting to {CARDINAL} and then the big step up in,6,108,1,0.0,0.009259259259259259,0.009259259259259259,0.0,0.018518518518518517,0.813080013,18.1,18569.9388,10,0.229410717,3.43247,2007-Jul-26,BDX
And then the question for Sanjay Sanjay you indicated that you 're obviously spending more on R&D now than really at any time in the past And I 'm just wondering with the continued growth and strength of the chip business if you are seeing opportunities for investment that are currently underfunded or not funded at all such that you could further increase the R&D budget beyond maybe what beyond what you traditionally would have been able to as we go into {DATE},3,83,1,0.0,0.024096385542168676,0.024096385542168676,0.03614457831325301,0.024096385542168676,1.38630252,18.1,25947.995,11,0.410446087,4.69536,2007-Jul-26,AET
Thank you for that The same characterization holds true there it is on the radar screen but no apparent change from the recent,2,23,1,0.0,0.0,0.043478260869565216,0.0,0.0,1.648281674,18.1,62247.24,10,0.242700955,1.24724,2007-Jul-26,AMGN
There are a few more weak links in the portfolio that look,1,12,1,0.0,0.0,0.0,0.0,0.08333333333333333,1.648281674,18.1,62247.24,10,0.242700955,1.24724,2007-Jul-26,AMGN
And that accretion is pretty small,1,6,1,0.0,0.0,0.0,0.0,0.0,1.648281674,18.1,62247.24,10,0.242700955,1.24724,2007-Jul-26,AMGN
